id,text,label
0,"Фантастический боевик о супергероях, сражающихся со злом",1
1,"Мажор виртуозно сбегает из тюрьмы и начинает новую жизнь. Новую сладкую жизнь! Соколовский вливается в светскую тусовку, где все сидят на новом синтетическом наркотике, и его снова окружают тачки, виллы и топ-модели. Друзья, враги и ФСБ идут по следу Мажора, пытаясь понять, какую игру он затеял и на чьей он стороне. Игорь же пытается понять, кто он сам — предатель, святой или всё тот же… Мажор?",0
2,"Затерянный мир — это фантастический боевик, который переносит зрителей в далекое будущее, когда Земля превратилась в пустыню, а люди живут под куполами городов-убежищ. Но главный герой, бывший солдат по имени Джон Смит, решает отправиться в путешествие через неизведанные земли, чтобы найти источник воды. Во время своего путешествия он встречает группу людей, борющихся против зловещего корпоративного синдиката, стремящегося контролировать всю воду Земли. Вместе они должны объединиться, чтобы спасти человечество от гибели. Этот фильм полон экшена, приключений и напряжения, что делает его идеальным выбором для любителей жанра.",1
3,"Загадочная девушка, после автомобильной аварии страдающая потерей памяти, выбирает себе имя Рита с рекламного плаката к фильму с Ритой Хейворт и пытается начать новую жизнь в Голливуде. Но тайны прошлого неотступно преследуют ее.",0
4,"Это история о двух друзьях, которые решили отправиться в путешествие вокруг света. Они хотят оставить позади все проблемы и начать новую жизнь. Но их поездка превращается в настоящее испытание, когда они оказываются втянутыми в опасные ситуации и сталкиваются с трудностями, которые заставляют их переоценить свои отношения друг с другом и самим собой. Фильм полон приключений, неожиданных поворотов событий и моментов, которые напомнят вам о важности настоящей дружбы.",1
5,"История двух противоположностей, которые случайно встретились в питерском баре, провели вместе ночь, а затем были вынуждены пожениться из-за незапланированной беременности. Спустя семь лет герои понимают, что превратились в одну из тех семейных пар, которых заел быт, а совместная жизнь стала просто привычкой. Желая сохранить брак ради сына, супруги идут на отчаянную меру — предлагают дать друг другу немного свободы.",0
6,"Это история о любви, предательстве и прощении. Главный герой, Марк, живет обычной жизнью со своими друзьями и семьей. У него есть любимая девушка, которую он собирается жениться. Все идет хорошо до тех пор, пока Марк случайно не узнает страшный секрет своего друга детства Джеймса. Этот секрет меняет всю его жизнь навсегда. Теперь перед ним стоит выбор между дружбой и справедливостью. Смогут ли они остаться друзьями после того, что произошло? Или это конец их отношений?",1
7,"Молодой американец Джесси знакомится в поезде с красивой француженкой Селин. Они сразу находят много общих тем для разговоров, и Джесси уговаривает Селин сойти вместе с ним в Вене, чтобы провести вместе вечер и ночь, так как наутро он должен улететь домой в Штаты.",0
8,"Студент Штык соблазнил профессорскую жену, рабочий парень Бомба сжёг родной завод, завсегдатай казино Пуля скрывается от кредиторов. У всех одна дорога — на призывной пункт. А в армии — до принятия присяги — их ждут невероятные похождения и приключения.",0
9,Фантастический боевик о супергероях и их врагах,1
10,"Фильм рассказывает историю двух друзей детства, Джона и Джека, которые выросли в одном районе и всегда были близки. Однако их судьбы разошлись после того как один стал успешным бизнесменом, а другой оказался за решеткой. Спустя годы они встречаются вновь и понимают, что у них есть общие цели и мечты. Их дружба проверяется на прочность, когда им приходится бороться против системы и своих собственных демонов, чтобы достичь успеха и справедливости.",1
11,"Все смешалось в отеле «Трансильвания»: таинственное изобретение Ван Хельсинга, «монстрифицирующий луч», ломается и случайно превращает Дракулу и его приятелей в людей, а Джонни — наоборот, в монстра. Лишенные своих способностей и привычного облика Драк с друзьями и Джонни, с неожиданным удовольствием раскрывающий свою монстрическую сущность, отправляются в кругосветное путешествие на поиски средства от трансформании. И, конечно, им не обойтись без помощи Мэвис, пока не стало слишком поздно и они не свели друг друга с ума.",0
12,"Это история любви, предательства и мести между двумя братьями, которая разворачивается на фоне борьбы за власть в маленьком городке. Фильм наполнен интригой, неожиданными поворотами сюжета и захватывающими боевыми сценами.",1
13,"Фильм повествует об истории молодого человека по имени Джейсон, который мечтает стать знаменитым музыкантом. После того как его отец умирает от рака, Джейсон остается один на один со своими проблемами. Он начинает работать в местном баре, где знакомится с девушкой Эмилией. Между ними возникает симпатия, но вскоре выясняется, что у нее есть секрет, который может разрушить все планы Джейсона на будущее.",1
14,"Египет, Александрия. Некогда крупнейшая в мире еврейская община находится на грани распада: из-за смерти одного из членов она теперь состоит только из девяти мужчин и в соответствии с заветами больше не может проводить религиозные обряды. Чтобы спасти общину и заодно избежать нежеланного сватовства, в Александрию отправляется ультраортодоксальный еврей из Бруклина Бен. Дорога оказывается куда сложнее, чем он думал: Бен опаздывает на самолет, а после странствий на автобусе оказывается посреди Синайской пустыни. Там он встречает Аделя, бедуина, который ищет своего сбежавшего верблюда. Неожиданное знакомство оказывается поворотным в жизни обоих.",0
15,"Главный герой этого фильма — одинокий мужчина средних лет по имени Том. После смерти своей жены он остается один в большом доме на берегу океана. Каждое утро он выходит на прогулку вдоль берега моря, где встречает загадочную женщину-призрак. Она рассказывает Тому историю своего трагического прошлого и просит помочь ей вернуться домой. С помощью этой женщины Том начинает исследовать свой собственный внутренний мир и открывает для себя новые возможности для саморазвития. Фильм полон душевности, глубины и эмоционального накала.",1
16,"В ближайшем будущем разнообразные технологии участвуют во всех аспектах человеческой жизни. Но в этом технологичном мире Грей — один из немногих людей, кто любит работать руками. Он восстанавливает и чинит старые автомобили. Однажды, возвращаясь от клиента, Грей с женой попадают в аварию, а после — в руки банды отморозков, в результате чего женщина погибает, а Грей оказывается парализованным ниже шеи. Тот самый богатый клиент предлагает несчастному поставить экспериментальный имплант Stem, который может полностью восстановить подвижность.",0
17,"Фантастический боевик о супергерое, спасающем мир от инопланетного вторжения",1
18,"Этот фильм рассказывает историю о том, как один парень встречает девушку своей мечты и все начинается... Романтика! Они проводят вместе много времени, делятся своими мыслями и чувствами. Однако, однажды девушка исчезает без следа. Герой отправляется на поиски пропавшей девушки и попадает в мир полный тайн и загадок. Постепенно он понимает, что за всем этим стоит нечто большее, чем простое исчезновение человека. Фильм полон эмоций, интриги и неожиданных поворотов событий. Вы будете держать дыхание до самого конца!",1
19,"Этот фильм рассказывает историю молодого парня, который пытается спасти свою девушку от смертельной болезни. Вместе они проходят через множество испытаний, включая борьбу с бюрократией медицинской системы и поиск редкого лекарства. Фильм наполнен эмоциями и надеждой, показывая, как любовь может стать источником силы и мужества даже перед лицом смерти. Зрители будут тронуты историей героев и оценят силу человеческих отношений.",1
